code,name
7313,"Рабочие, занятые изготовлением и реставрацией ювелирных украшений из драгоценных металлов и камней, а также изготовлением высокохудожественных изделий в традициях народных художественных промыслов (лаковая миниатюра, художественная роспись по металлу и керамике)"
732,"Гончары, прессовщики и формовщики изделий из керамики, фарфора, стекла и других материалов и рабочие родственных профессий"
7321,"Гончары, формовщики и прессовщики фарфоровых и абразивных изделий"
7322,"Формовщики, прессовщики, шлифовщики и полировщики стекла, стеклодувы"
7323,Граверы и травильщики стекла плавиковой кислотой
7324,"Разрисовщики по стеклу, керамике, художники декоративной росписи, художники-оформители и родственные профессии"
733,"Рабочие художественных промыслов и других видов производств в художественной промышленности, занятые изготовлением и реставрацией изделий из металла, дерева, текстиля, кожи и других материалов"
7331,"Изготовители и реставраторы художественных изделий из дерева, капо-корня, бересты и подобных материалов"
7332,"Изготовители и реставраторы художественных изделий из текстиля, кожи, меха и подобных материалов"
7333,Изготовители и реставраторы художественных изделий из металла (кроме драгоценного)
7334,"Изготовители и реставраторы художественных изделий из кости, рога, янтаря и подобных материалов"
7335,"Изготовители и реставраторы изделий из естественных камней (гранита, мрамора и т.п.) в скульптурном производстве"
734,Рабочие полиграфического производства
7341,Наборщики и печатники
7342,Электротиперы и стереотиперы
7343,Граверы и травильщики печатных форм
7344,Переплетчики и рабочие родственных профессий
7345,"Рабочие по шелкографии, металлографии и трафаретчики по тканям"
74,Другие профессии квалифицированных рабочих крупных и мелких промышленных предприятий
741,Профессии рабочих пищевой промышленности
7411,"Профессии рабочих мясной, рыбной и консервной промышленности"
7412,"Профессии рабочих хлебопекарно-макаронного производства, кондитерского производства и производства сахара"
7413,Дегустаторы продуктов питания и напитков и определители сортности
7414,Профессии рабочих табачно-махорочного и ферментационного производства
7415,Профессии рабочих алкогольного и безалкогольного производства
7416,"Профессии рабочих маслодельного, сыродельного и молочного производства"
742,Профессии рабочих деревообрабатывающей промышленности
7421,Профессии рабочих по первоначальной обработке древесины
7422,Краснодеревщики и рабочие родственных профессий
7423,Наладчики деревообрабатывающего оборудования
7424,"Плетельщики корзин, мебели и рабочие родственных профессий"
743,Профессии рабочих текстильной промышленности
7431,"Рабочие, занятые изготовлением волокна в хлопчатобумажном, льняном, шелкомотальном, шерстяном, пенькоджутовом производствах и в производстве ваты"
7432,"Ткачи, вязальщики и другие рабочие ручного труда в текстильной промышленности"
7433,Мужские и женские портные и шляпники
7434,Мастера по изготовлению меховой одежды и рабочие родственных профессий
7435,"Изготовители лекал и изделий из текстиля, кожи и других материалов и закройщики"
7436,"Швеи, вышивальщицы и рабочие родственных профессий"
7437,Обойщики мебели и рабочие родственных профессий
7438,"Рабочие, занятые в сетевязальном производстве"
7439,"Рабочие, занятые в валяльно-войлочном производстве"
744,Профессии рабочих легкой промышленности (включая швейную)
7441,"Профессии рабочих, занятых в кожевенном, кожсырьевом и меховом производствах"
7442,"Профессии рабочих, занятых в производстве кожаной обуви и других изделий из кожи"
7443,Профессии рабочих швейной промышленности
745,Профессии рабочих промышленности строительных материалов
7450,Профессии рабочих промышленности строительных материалов
746,"Профессии рабочих, занятых в производстве игрушек и учебно-наглядных пособий"
7460,"Профессии рабочих, занятых в производстве игрушек и учебно-наглядных пособий"
75,Профессии рабочих транспорта и связи
751,Профессии рабочих транспорта
7511,Профессии рабочих по обслуживанию и ремонту путевых машин и механизмов железнодорожного транспорта
7512,Профессии рабочих по обслуживанию и ремонту оборудования метрополитенов
7513,Профессии рабочих по обслуживанию и ремонту автомототранспортных средств
7514,Профессии рабочих по обслуживанию и ремонту оборудования морских и речных судов
7515,Профессии рабочих по техническому обслуживанию и эксплуатации летательных аппаратов
752,Профессии рабочих связи
7521,"Телефонисты, телеграфисты и родственные профессии рабочих связи"
7522,Профессии рабочих по обслуживанию и ремонту линейных сооружений и станционного оборудования связи
76,"Профессии рабочих, занятых в геологии и разведке недр"
761,"Профессии рабочих, занятых на геологоразведочных работах"
7610,"Профессии рабочих, занятых на геологоразведочных работах"
762,"Профессии рабочих, занятых на топографо-геодезических работах"
7620,"Профессии рабочих, занятых на топографо-геодезических работах"
8,"Операторы, аппаратчики, машинисты установок и машин и слесари-сборщики"
81,"Операторы, аппаратчики и машинисты промышленных установок"
811,"Операторы, аппаратчики и машинисты горнодобывающих и горно-обогатительных установок"
8111,Операторы и машинисты горного оборудования
8112,"Операторы, аппаратчики и машинисты установок по обработке руды и камня"
8113,Бурильщики скважин и колодцев и родственные профессии
8114,Машинисты и аппаратчики оборудования по добыче и переработке торфа
812,"Операторы, аппаратчики, машинисты и другие профессии на металлоплавильных установках"
8121,"Операторы печей для плавки сырой руды, доменных печей, конвертеров и печей для рафинирования металла"
8122,"Аппаратчики, плавильщики, литейщики и прокатчики"
8123,Операторы и машинисты установок термической обработки металла и огнеупоров
8124,"Волочильщики, вальцовщики и операторы экструдингпрессов"
8125,"Другие родственные профессиональные группы, не отнесенные к предыдущим группам"
813,"Операторы установок и печей по производству и отжигу стекла и стеклоизделий и по производству и обжигу керамических, фарфоровых изделий, стеновых и вяжущих материалов"
8131,Операторы печей отжига стекла и стеклоизделий и обжига керамики
8132,Операторы установок по производству стекла и стеклоизделий
8133,Операторы установок по производству керамики и фарфора
8134,Операторы установок по производству и обжигу стеновых и вяжущих материалов
8139,"Операторы печей и установок, не вошедшие в другие группы"
814,"Операторы и аппаратчики установок по переработке и обработке древесины, производству целлюлозы, бумаги, картона, фибры и изделий из них"
8141,"Операторы лесопильных установок, установок по производству панелей, блоков, заготовок, строительных конструкций и операторы других установок"
8142,"Операторы и аппаратчики установок по приготовлению целлюлозы и бумажной массы и по производству бумаги, картона, фибры и изделий из них"
8143,Операторы бумагоделательных и картоноделательных машин
8144,Операторы и аппаратчики установок по производству костровых плит и изделий из древесины
815,"Аппаратчики, операторы и машинисты установок по переработке химического и нефтехимического сырья"
8151,"Аппаратчики, операторы и машинисты дробильных установок, мельниц и смесителей"
8152,"Операторы жаровен, аппаратчики обжигательных печей и аналогичных установок термической обработки"
8153,Аппаратчики (операторы) фильтровальных машин и сепараторов
8154,Аппаратчики (операторы) перегонных аппаратов и реакторов
8155,Операторы нефтеочистительных установок
8159,"Аппаратчики, операторы и машинисты установок по переработке химического и нефтехимического сырья, не вошедшие в другие группы"
816,"Операторы, аппаратчики и машинисты установок электростанций и сетей"
